participantID,StartDate,day,mood
sp10-01-41,2010-09-20T13:11:52Z,2010-09-14,Happy or content
sp10-01-41,2010-09-20T13:11:52Z,2010-09-15,Happy or content
sp10-01-41,2010-09-20T13:11:52Z,2010-09-16,Happy or content
sp10-01-41,2010-09-20T13:11:52Z,2010-09-17,Happy or content
sp10-01-41,2010-09-20T13:11:52Z,2010-09-18,Sad or depressed
sp10-01-41,2010-09-20T13:11:52Z,2010-09-19,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-13,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-14,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-15,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-16,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-17,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-18,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-18,Calm or peaceful
sp10-01-35,2010-09-20T00:15:24Z,2010-09-19,Happy or content
sp10-01-35,2010-09-20T00:15:24Z,2010-09-19,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-13,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-14,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-15,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-16,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-17,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-18,Calm or peaceful
sp10-01-13,2010-09-19T23:49:42Z,2010-09-19,Calm or peaceful
sp10-01-31,2010-09-19T23:37:15Z,2010-09-13,Happy or content
sp10-01-31,2010-09-19T23:37:15Z,2010-09-14,Happy or content
sp10-01-31,2010-09-19T23:37:15Z,2010-09-15,Happy or content
sp10-01-31,2010-09-19T23:37:15Z,2010-09-16,Happy or content
sp10-01-31,2010-09-19T23:37:15Z,2010-09-17,Happy or content
sp10-01-31,2010-09-19T23:37:15Z,2010-09-18,Happy or content
sp10-01-31,2010-09-19T23:37:15Z,2010-09-19,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-13,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-13,Calm or peaceful
sp10-01-32,2010-09-19T22:58:46Z,2010-09-14,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-14,Calm or peaceful
sp10-01-32,2010-09-19T22:58:46Z,2010-09-15,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-15,Calm or peaceful
sp10-01-32,2010-09-19T22:58:46Z,2010-09-16,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-16,Calm or peaceful
sp10-01-32,2010-09-19T22:58:46Z,2010-09-17,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-17,Calm or peaceful
sp10-01-32,2010-09-19T22:58:46Z,2010-09-18,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-18,Calm or peaceful
sp10-01-32,2010-09-19T22:58:46Z,2010-09-19,Happy or content
sp10-01-32,2010-09-19T22:58:46Z,2010-09-19,Calm or peaceful
sp10-01-19,2010-09-18T21:50:04Z,2010-09-13,Happy or content
sp10-01-19,2010-09-18T21:50:04Z,2010-09-14,Happy or content
sp10-01-19,2010-09-18T21:50:04Z,2010-09-15,Happy or content
sp10-01-19,2010-09-18T21:50:04Z,2010-09-16,Happy or content
sp10-01-19,2010-09-18T21:50:04Z,2010-09-17,Happy or content
sp10-01-19,2010-09-18T21:50:04Z,2010-09-18,Happy or content
sp10-01-19,2010-09-18T21:50:04Z,2010-09-19,Happy or content
sp10-01-42,2010-09-14T19:43:59Z,2010-09-13,Calm or peaceful
sp10-01-42,2010-09-14T19:43:59Z,2010-09-14,Happy or content
sp10-01-42,2010-09-14T19:43:59Z,2010-09-15,Calm or peaceful
sp10-01-42,2010-09-14T19:43:59Z,2010-09-16,Calm or peaceful
sp10-01-42,2010-09-14T19:43:59Z,2010-09-17,Calm or peaceful
sp10-01-42,2010-09-14T19:43:59Z,2010-09-18,Calm or peaceful
sp10-01-42,2010-09-14T19:43:59Z,2010-09-19,Happy or content
sp10-01-34,2010-09-14T12:46:46Z,2010-09-13,Calm or peaceful
sp10-01-34,2010-09-14T12:46:46Z,2010-09-13,Stressed or anxious
sp10-01-34,2010-09-14T12:46:46Z,2010-09-14,Calm or peaceful
sp10-01-34,2010-09-14T12:46:46Z,2010-09-14,Stressed or anxious
sp10-01-34,2010-09-14T12:46:46Z,2010-09-15,Calm or peaceful
sp10-01-34,2010-09-14T12:46:46Z,2010-09-16,Stressed or anxious
sp10-01-34,2010-09-14T12:46:46Z,2010-09-17,Stressed or anxious
sp10-01-34,2010-09-14T12:46:46Z,2010-09-18,Happy or content
sp10-01-34,2010-09-14T12:46:46Z,2010-09-18,Calm or peaceful
sp10-01-34,2010-09-14T12:46:46Z,2010-09-19,Happy or content
sp10-01-34,2010-09-14T12:46:46Z,2010-09-19,Calm or peaceful
sp10-01-38,2010-09-26T22:31:34Z,2010-09-06,Happy or content
sp10-01-38,2010-09-26T22:31:34Z,2010-09-07,Happy or content
sp10-01-38,2010-09-26T22:31:34Z,2010-09-08,Happy or content
sp10-01-38,2010-09-26T22:31:34Z,2010-09-09,Happy or content
sp10-01-38,2010-09-26T22:31:34Z,2010-09-10,Happy or content
sp10-01-38,2010-09-26T22:31:34Z,2010-09-11,Happy or content
sp10-01-38,2010-09-26T22:31:34Z,2010-09-12,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-06,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-07,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-08,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-09,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-10,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-11,Calm or peaceful
sp10-01-37,2010-09-23T07:04:24Z,2010-09-12,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-06,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-06,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-07,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-07,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-08,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-08,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-09,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-09,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-10,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-10,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-11,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-11,Calm or peaceful
sp10-01-32,2010-09-15T11:42:03Z,2010-09-12,Happy or content
sp10-01-32,2010-09-15T11:42:03Z,2010-09-12,Calm or peaceful
sp10-01-49,2010-09-15T02:24:13Z,2010-09-06,Happy or content
sp10-01-49,2010-09-15T02:24:13Z,2010-09-07,Happy or content
sp10-01-49,2010-09-15T02:24:13Z,2010-09-08,Happy or content
sp10-01-49,2010-09-15T02:24:13Z,2010-09-09,Happy or content
sp10-01-49,2010-09-15T02:24:13Z,2010-09-10,Happy or content
sp10-01-49,2010-09-15T02:24:13Z,2010-09-11,Happy or content
sp10-01-49,2010-09-15T02:24:13Z,2010-09-12,Happy or content
sp10-01-08,2010-09-15T00:30:55Z,2010-09-06,Happy or content
sp10-01-08,2010-09-15T00:30:55Z,2010-09-07,Happy or content
sp10-01-08,2010-09-15T00:30:55Z,2010-09-08,Happy or content
sp10-01-08,2010-09-15T00:30:55Z,2010-09-09,Happy or content
sp10-01-08,2010-09-15T00:30:55Z,2010-09-10,Sad or depressed
sp10-01-08,2010-09-15T00:30:55Z,2010-09-11,Angry or frustrated
sp10-01-08,2010-09-15T00:30:55Z,2010-09-12,Sad or depressed
sp10-01-41,2010-09-14T19:16:10Z,2010-09-06,Happy or content
sp10-01-41,2010-09-14T19:16:10Z,2010-09-07,Happy or content
sp10-01-41,2010-09-14T19:16:10Z,2010-09-08,Happy or content
sp10-01-41,2010-09-14T19:16:10Z,2010-09-09,Happy or content
sp10-01-41,2010-09-14T19:16:10Z,2010-09-10,Stressed or anxious
sp10-01-41,2010-09-14T19:16:10Z,2010-09-11,Happy or content
sp10-01-41,2010-09-14T19:16:10Z,2010-09-12,Sad or depressed
sp10-01-33,2010-09-14T14:06:03Z,2010-09-06,Happy or content
sp10-01-33,2010-09-14T14:06:03Z,2010-09-07,Happy or content
sp10-01-33,2010-09-14T14:06:03Z,2010-09-08,Happy or content
sp10-01-33,2010-09-14T14:06:03Z,2010-09-09,Happy or content
sp10-01-33,2010-09-14T14:06:03Z,2010-09-09,Calm or peaceful
sp10-01-33,2010-09-14T14:06:03Z,2010-09-10,Happy or content
sp10-01-33,2010-09-14T14:06:03Z,2010-09-11,Happy or content
sp10-01-33,2010-09-14T14:06:03Z,2010-09-12,Calm or peaceful
sp10-01-33,2010-09-14T14:06:03Z,2010-09-12,Stressed or anxious
sp10-01-45,2010-09-14T13:56:10Z,2010-09-06,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-07,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-08,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-09,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-10,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-11,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-12,Happy or content
sp10-01-45,2010-09-14T13:56:10Z,2010-09-12,Stressed or anxious
sp10-01-45,2010-09-14T13:56:10Z,2010-09-12,Sad or depressed
sp10-01-45,2010-09-14T13:56:10Z,2010-09-12,Angry or frustrated
sp10-01-34,2010-09-14T12:48:16Z,2010-09-06,Calm or peaceful
sp10-01-34,2010-09-14T12:48:16Z,2010-09-07,Calm or peaceful
sp10-01-34,2010-09-14T12:48:16Z,2010-09-08,Calm or peaceful
sp10-01-34,2010-09-14T12:48:16Z,2010-09-09,Calm or peaceful
sp10-01-34,2010-09-14T12:48:16Z,2010-09-10,Calm or peaceful
sp10-01-34,2010-09-14T12:48:16Z,2010-09-11,Stressed or anxious
sp10-01-34,2010-09-14T12:48:16Z,2010-09-12,Stressed or anxious
sp10-01-22,2010-09-14T05:26:57Z,2010-09-06,Happy or content
sp10-01-22,2010-09-14T05:26:57Z,2010-09-07,Happy or content
sp10-01-22,2010-09-14T05:26:57Z,2010-09-08,Stressed or anxious
sp10-01-22,2010-09-14T05:26:57Z,2010-09-09,Happy or content
sp10-01-22,2010-09-14T05:26:57Z,2010-09-10,Happy or content
sp10-01-22,2010-09-14T05:26:57Z,2010-09-11,Happy or content
sp10-01-22,2010-09-14T05:26:57Z,2010-09-12,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-06,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-07,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-07,Stressed or anxious
sp10-01-52,2010-09-14T03:25:58Z,2010-09-08,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-09,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-10,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-11,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-11,Calm or peaceful
sp10-01-52,2010-09-14T03:25:58Z,2010-09-12,Happy or content
sp10-01-52,2010-09-14T03:25:58Z,2010-09-12,Calm or peaceful
sp10-01-25,2010-09-13T20:18:35Z,2010-09-06,Happy or content
sp10-01-25,2010-09-13T20:18:35Z,2010-09-07,Happy or content
sp10-01-25,2010-09-13T20:18:35Z,2010-09-08,Happy or content
sp10-01-25,2010-09-13T20:18:35Z,2010-09-09,Happy or content
sp10-01-25,2010-09-13T20:18:35Z,2010-09-10,Happy or content
sp10-01-25,2010-09-13T20:18:35Z,2010-09-11,Happy or content
sp10-01-25,2010-09-13T20:18:35Z,2010-09-11,Calm or peaceful
sp10-01-25,2010-09-13T20:18:35Z,2010-09-12,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-06,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-07,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-08,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-09,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-10,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-11,Happy or content
sp10-01-48,2010-09-13T17:03:26Z,2010-09-12,Happy or content
sp10-01-07,2010-09-13T15:51:20Z,2010-09-06,Happy or content
sp10-01-07,2010-09-13T15:51:20Z,2010-09-07,Happy or content
sp10-01-07,2010-09-13T15:51:20Z,2010-09-08,Happy or content
sp10-01-07,2010-09-13T15:51:20Z,2010-09-09,Happy or content
sp10-01-07,2010-09-13T15:51:20Z,2010-09-10,Stressed or anxious
sp10-01-07,2010-09-13T15:51:20Z,2010-09-11,Stressed or anxious
sp10-01-07,2010-09-13T15:51:20Z,2010-09-11,Angry or frustrated
sp10-01-07,2010-09-13T15:51:20Z,2010-09-12,Calm or peaceful
sp10-01-39,2010-09-13T15:38:03Z,2010-09-06,Happy or content
sp10-01-39,2010-09-13T15:38:03Z,2010-09-07,Happy or content
sp10-01-39,2010-09-13T15:38:03Z,2010-09-08,Calm or peaceful
sp10-01-39,2010-09-13T15:38:03Z,2010-09-09,Happy or content
sp10-01-39,2010-09-13T15:38:03Z,2010-09-10,Sad or depressed
sp10-01-39,2010-09-13T15:38:03Z,2010-09-11,Calm or peaceful
sp10-01-39,2010-09-13T15:38:03Z,2010-09-12,Sad or depressed
sp10-01-13,2010-09-13T15:02:49Z,2010-09-06,Calm or peaceful
sp10-01-13,2010-09-13T15:02:49Z,2010-09-07,Calm or peaceful
sp10-01-13,2010-09-13T15:02:49Z,2010-09-08,Calm or peaceful
sp10-01-13,2010-09-13T15:02:49Z,2010-09-09,Calm or peaceful
sp10-01-13,2010-09-13T15:02:49Z,2010-09-10,Calm or peaceful
sp10-01-13,2010-09-13T15:02:49Z,2010-09-11,Calm or peaceful
sp10-01-13,2010-09-13T15:02:49Z,2010-09-12,Calm or peaceful
sp10-01-30,2010-09-13T13:39:37Z,2010-09-06,Happy or content
sp10-01-30,2010-09-13T13:39:37Z,2010-09-07,Happy or content
sp10-01-30,2010-09-13T13:39:37Z,2010-09-07,Stressed or anxious
sp10-01-30,2010-09-13T13:39:37Z,2010-09-08,Happy or content
sp10-01-30,2010-09-13T13:39:37Z,2010-09-08,Stressed or anxious
sp10-01-30,2010-09-13T13:39:37Z,2010-09-09,Happy or content
sp10-01-30,2010-09-13T13:39:37Z,2010-09-10,Stressed or anxious
sp10-01-30,2010-09-13T13:39:37Z,2010-09-10,Sad or depressed
sp10-01-30,2010-09-13T13:39:37Z,2010-09-10,Angry or frustrated
sp10-01-30,2010-09-13T13:39:37Z,2010-09-11,Happy or content
sp10-01-30,2010-09-13T13:39:37Z,2010-09-11,Calm or peaceful
sp10-01-30,2010-09-13T13:39:37Z,2010-09-11,Sad or depressed
sp10-01-30,2010-09-13T13:39:37Z,2010-09-12,Calm or peaceful
sp10-01-55,2010-09-13T01:46:24Z,2010-09-06,Happy or content
sp10-01-55,2010-09-13T01:46:24Z,2010-09-07,Angry or frustrated
sp10-01-55,2010-09-13T01:46:24Z,2010-09-08,Calm or peaceful
sp10-01-55,2010-09-13T01:46:24Z,2010-09-09,Calm or peaceful
sp10-01-55,2010-09-13T01:46:24Z,2010-09-10,Happy or content
sp10-01-55,2010-09-13T01:46:24Z,2010-09-11,Happy or content
sp10-01-55,2010-09-13T01:46:24Z,2010-09-12,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-06,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-07,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-08,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-09,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-10,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-11,Happy or content
sp10-01-31,2010-09-13T01:35:37Z,2010-09-12,Happy or content
sp10-01-46,2010-09-13T00:25:57Z,2010-09-06,Happy or content
sp10-01-46,2010-09-13T00:25:57Z,2010-09-07,Happy or content
sp10-01-46,2010-09-13T00:25:57Z,2010-09-08,Stressed or anxious
sp10-01-46,2010-09-13T00:25:57Z,2010-09-09,Happy or content
sp10-01-46,2010-09-13T00:25:57Z,2010-09-10,Happy or content
sp10-01-46,2010-09-13T00:25:57Z,2010-09-11,Happy or content
sp10-01-46,2010-09-13T00:25:57Z,2010-09-12,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-06,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-07,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-08,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-09,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-10,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-11,Happy or content
sp10-01-24,2010-09-13T00:00:58Z,2010-09-12,Happy or content
sp10-01-56,2010-09-12T11:46:16Z,2010-09-07,Calm or peaceful
sp10-01-56,2010-09-12T11:46:16Z,2010-09-08,Calm or peaceful
sp10-01-56,2010-09-12T11:46:16Z,2010-09-09,Calm or peaceful
sp10-01-56,2010-09-12T11:46:16Z,2010-09-10,Stressed or anxious
sp10-01-56,2010-09-12T11:46:16Z,2010-09-11,Calm or peaceful
sp10-01-56,2010-09-12T11:46:16Z,2010-09-12,Calm or peaceful
sp10-01-36,2010-09-12T03:01:12Z,2010-09-06,Calm or peaceful
sp10-01-36,2010-09-12T03:01:12Z,2010-09-07,Calm or peaceful
sp10-01-36,2010-09-12T03:01:12Z,2010-09-08,Calm or peaceful
